date,item,stock,backorder
2024-01-01,Milk,398,2
2024-01-02,Milk,548,43
2024-01-03,Milk,892,23
2024-01-04,Milk,577,2
2024-01-05,Milk,757,14
2024-01-06,Milk,352,29
2024-01-07,Milk,405,6
2024-01-08,Milk,472,43
2024-01-09,Milk,939,8
2024-01-10,Milk,877,47
2024-01-11,Milk,925,1
2024-01-12,Milk,543,7
2024-01-13,Milk,594,12
2024-01-14,Milk,920,7
2024-01-15,Milk,988,17
2024-01-16,Milk,519,17
2024-01-17,Milk,565,46
2024-01-18,Milk,806,37
2024-01-19,Milk,743,10
2024-01-20,Milk,500,24
2024-01-21,Milk,301,40
2024-01-22,Milk,591,10
2024-01-23,Milk,413,23
2024-01-24,Milk,752,16
2024-01-25,Milk,787,45
2024-01-26,Milk,871,14
2024-01-27,Milk,791,21
2024-01-28,Milk,291,19
2024-01-29,Milk,872,9
2024-01-30,Milk,441,32
2024-01-31,Milk,201,32
2024-02-01,Milk,944,12
2024-02-02,Milk,788,25
2024-02-03,Milk,302,1
2024-02-04,Milk,365,38
2024-02-05,Milk,289,45
2024-02-06,Milk,321,49
2024-02-07,Milk,342,33
2024-02-08,Milk,305,43
2024-02-09,Milk,504,39
2024-02-10,Milk,516,2
2024-02-11,Milk,834,5
2024-02-12,Milk,208,5
2024-02-13,Milk,272,38
2024-02-14,Milk,422,31
2024-02-15,Milk,752,49
2024-02-16,Milk,915,7
2024-02-17,Milk,889,27
2024-02-18,Milk,517,19
2024-02-19,Milk,517,46
2024-02-20,Milk,450,6
2024-02-21,Milk,658,19
2024-02-22,Milk,407,3
2024-02-23,Milk,589,21
2024-02-24,Milk,609,2
2024-02-25,Milk,326,40
2024-02-26,Milk,899,41
2024-02-27,Milk,213,10
2024-02-28,Milk,211,22
2024-02-29,Milk,723,12
2024-03-01,Milk,736,44
2024-03-02,Milk,442,18
2024-03-03,Milk,766,45
2024-03-04,Milk,555,44
2024-03-05,Milk,932,31
2024-03-06,Milk,506,43
2024-03-07,Milk,793,5
2024-03-08,Milk,922,21
2024-03-09,Milk,748,31
2024-03-10,Milk,511,40
2024-03-11,Milk,258,2
2024-03-12,Milk,913,34
2024-03-13,Milk,644,28
2024-03-14,Milk,406,32
2024-03-15,Milk,531,48
2024-03-16,Milk,924,30
2024-03-17,Milk,223,19
2024-03-18,Milk,715,27
2024-03-19,Milk,563,19
2024-03-20,Milk,351,49
2024-03-21,Milk,888,31
2024-03-22,Milk,816,35
2024-03-23,Milk,449,33
2024-03-24,Milk,711,35
2024-03-25,Milk,777,14
2024-03-26,Milk,617,35
2024-03-27,Milk,973,38
2024-03-28,Milk,954,11
2024-03-29,Milk,842,44
2024-03-30,Milk,729,39
2024-01-01,Bread,220,14
2024-01-02,Bread,936,34
2024-01-03,Bread,993,7
2024-01-04,Bread,299,47
2024-01-05,Bread,677,22
2024-01-06,Bread,497,43
2024-01-07,Bread,725,13
2024-01-08,Bread,201,36
2024-01-09,Bread,752,46
2024-01-10,Bread,213,38
2024-01-11,Bread,283,1
2024-01-12,Bread,942,5
2024-01-13,Bread,344,24
2024-01-14,Bread,227,1
2024-01-15,Bread,362,36
2024-01-16,Bread,460,0
2024-01-17,Bread,623,11
2024-01-18,Bread,875,44
2024-01-19,Bread,502,30
2024-01-20,Bread,594,9
2024-01-21,Bread,906,13
2024-01-22,Bread,791,9
2024-01-23,Bread,804,9
2024-01-24,Bread,560,0
2024-01-25,Bread,332,19
2024-01-26,Bread,975,42
2024-01-27,Bread,712,19
2024-01-28,Bread,483,42
2024-01-29,Bread,886,36
2024-01-30,Bread,403,36
2024-01-31,Bread,504,48
2024-02-01,Bread,831,43
2024-02-02,Bread,355,46
2024-02-03,Bread,918,5
2024-02-04,Bread,819,19
2024-02-05,Bread,533,1
2024-02-06,Bread,710,36
2024-02-07,Bread,219,25
2024-02-08,Bread,996,0
2024-02-09,Bread,318,34
2024-02-10,Bread,397,36
2024-02-11,Bread,956,4
2024-02-12,Bread,360,48
2024-02-13,Bread,890,13
2024-02-14,Bread,211,41
2024-02-15,Bread,475,49
2024-02-16,Bread,415,42
2024-02-17,Bread,325,33
2024-02-18,Bread,416,49
2024-02-19,Bread,996,38
2024-02-20,Bread,422,46
2024-02-21,Bread,626,49
2024-02-22,Bread,627,37
2024-02-23,Bread,350,44
2024-02-24,Bread,507,15
2024-02-25,Bread,945,7
2024-02-26,Bread,540,0
2024-02-27,Bread,975,28
2024-02-28,Bread,551,37
2024-02-29,Bread,716,46
2024-03-01,Bread,285,46
2024-03-02,Bread,392,25
2024-03-03,Bread,626,9
2024-03-04,Bread,613,49
2024-03-05,Bread,344,25
2024-03-06,Bread,847,46
2024-03-07,Bread,943,48
2024-03-08,Bread,787,26
2024-03-09,Bread,544,45
2024-03-10,Bread,200,18
2024-03-11,Bread,486,15
2024-03-12,Bread,853,47
2024-03-13,Bread,268,40
2024-03-14,Bread,801,27
2024-03-15,Bread,903,5
2024-03-16,Bread,774,8
2024-03-17,Bread,360,40
2024-03-18,Bread,288,47
2024-03-19,Bread,980,8
2024-03-20,Bread,956,12
2024-03-21,Bread,358,40
2024-03-22,Bread,523,33
2024-03-23,Bread,580,37
2024-03-24,Bread,693,3
2024-03-25,Bread,813,18
2024-03-26,Bread,653,33
2024-03-27,Bread,793,12
2024-03-28,Bread,478,18
2024-03-29,Bread,564,10
2024-03-30,Bread,840,23
2024-01-01,Eggs,654,24
2024-01-02,Eggs,924,14
2024-01-03,Eggs,264,11
2024-01-04,Eggs,910,14
2024-01-05,Eggs,804,24
2024-01-06,Eggs,616,48
2024-01-07,Eggs,935,48
2024-01-08,Eggs,490,43
2024-01-09,Eggs,301,25
2024-01-10,Eggs,466,34
2024-01-11,Eggs,821,13
2024-01-12,Eggs,976,2
2024-01-13,Eggs,284,25
2024-01-14,Eggs,527,47
2024-01-15,Eggs,649,5
2024-01-16,Eggs,828,28
2024-01-17,Eggs,353,24
2024-01-18,Eggs,211,4
2024-01-19,Eggs,503,36
2024-01-20,Eggs,499,35
2024-01-21,Eggs,982,42
2024-01-22,Eggs,542,5
2024-01-23,Eggs,697,43
2024-01-24,Eggs,626,44
2024-01-25,Eggs,220,22
2024-01-26,Eggs,818,15
2024-01-27,Eggs,316,14
2024-01-28,Eggs,992,35
2024-01-29,Eggs,914,14
2024-01-30,Eggs,523,20
2024-01-31,Eggs,340,21
2024-02-01,Eggs,986,33
2024-02-02,Eggs,533,3
2024-02-03,Eggs,572,45
2024-02-04,Eggs,738,28
2024-02-05,Eggs,950,27
2024-02-06,Eggs,490,7
2024-02-07,Eggs,343,41
2024-02-08,Eggs,619,29
2024-02-09,Eggs,857,1
2024-02-10,Eggs,788,3
2024-02-11,Eggs,289,24
2024-02-12,Eggs,549,10
2024-02-13,Eggs,462,30
2024-02-14,Eggs,307,9
2024-02-15,Eggs,238,12
2024-02-16,Eggs,358,6
2024-02-17,Eggs,511,48
2024-02-18,Eggs,644,41
2024-02-19,Eggs,235,19
2024-02-20,Eggs,651,6
2024-02-21,Eggs,584,43
2024-02-22,Eggs,575,44
2024-02-23,Eggs,561,46
2024-02-24,Eggs,340,21
2024-02-25,Eggs,317,20
2024-02-26,Eggs,925,27
2024-02-27,Eggs,225,8
2024-02-28,Eggs,982,9
2024-02-29,Eggs,577,41
2024-03-01,Eggs,783,23
2024-03-02,Eggs,919,48
2024-03-03,Eggs,353,26
2024-03-04,Eggs,492,3
2024-03-05,Eggs,249,23
2024-03-06,Eggs,730,35
2024-03-07,Eggs,259,38
2024-03-08,Eggs,401,24
2024-03-09,Eggs,345,18
2024-03-10,Eggs,875,9
2024-03-11,Eggs,638,49
2024-03-12,Eggs,780,46
2024-03-13,Eggs,760,34
2024-03-14,Eggs,307,33
2024-03-15,Eggs,872,20
2024-03-16,Eggs,861,47
2024-03-17,Eggs,854,34
2024-03-18,Eggs,654,31
2024-03-19,Eggs,722,9
2024-03-20,Eggs,789,12
2024-03-21,Eggs,708,24
2024-03-22,Eggs,969,34
2024-03-23,Eggs,462,20
2024-03-24,Eggs,857,2
2024-03-25,Eggs,753,38
2024-03-26,Eggs,952,10
2024-03-27,Eggs,479,45
2024-03-28,Eggs,730,3
2024-03-29,Eggs,417,37
2024-03-30,Eggs,753,31
2024-01-01,Rice,366,44
2024-01-02,Rice,235,39
2024-01-03,Rice,940,32
2024-01-04,Rice,875,2
2024-01-05,Rice,272,7
2024-01-06,Rice,552,5
2024-01-07,Rice,624,38
2024-01-08,Rice,907,12
2024-01-09,Rice,760,1
2024-01-10,Rice,716,43
2024-01-11,Rice,738,31
2024-01-12,Rice,348,7
2024-01-13,Rice,429,7
2024-01-14,Rice,761,2
2024-01-15,Rice,580,2
2024-01-16,Rice,541,5
2024-01-17,Rice,329,22
2024-01-18,Rice,371,1
2024-01-19,Rice,813,16
2024-01-20,Rice,553,22
2024-01-21,Rice,997,7
2024-01-22,Rice,861,43
2024-01-23,Rice,641,35
2024-01-24,Rice,652,12
2024-01-25,Rice,676,30
2024-01-26,Rice,502,15
2024-01-27,Rice,817,29
2024-01-28,Rice,832,15
2024-01-29,Rice,211,16
2024-01-30,Rice,599,11
2024-01-31,Rice,847,19
2024-02-01,Rice,714,15
2024-02-02,Rice,741,44
2024-02-03,Rice,478,27
2024-02-04,Rice,826,39
2024-02-05,Rice,829,4
2024-02-06,Rice,447,43
2024-02-07,Rice,520,29
2024-02-08,Rice,348,19
2024-02-09,Rice,605,17
2024-02-10,Rice,655,38
2024-02-11,Rice,999,32
2024-02-12,Rice,983,11
2024-02-13,Rice,749,33
2024-02-14,Rice,708,13
2024-02-15,Rice,680,22
2024-02-16,Rice,313,44
2024-02-17,Rice,777,40
2024-02-18,Rice,540,1
2024-02-19,Rice,960,8
2024-02-20,Rice,648,10
2024-02-21,Rice,379,22
2024-02-22,Rice,865,3
2024-02-23,Rice,665,5
2024-02-24,Rice,618,21
2024-02-25,Rice,342,21
2024-02-26,Rice,515,36
2024-02-27,Rice,443,41
2024-02-28,Rice,211,46
2024-02-29,Rice,760,41
2024-03-01,Rice,877,17
2024-03-02,Rice,628,34
2024-03-03,Rice,357,23
2024-03-04,Rice,869,13
2024-03-05,Rice,333,2
2024-03-06,Rice,206,13
2024-03-07,Rice,272,14
2024-03-08,Rice,604,34
2024-03-09,Rice,777,26
2024-03-10,Rice,329,34
2024-03-11,Rice,665,13
2024-03-12,Rice,987,17
2024-03-13,Rice,967,9
2024-03-14,Rice,736,1
2024-03-15,Rice,992,32
2024-03-16,Rice,363,30
2024-03-17,Rice,981,0
2024-03-18,Rice,309,15
2024-03-19,Rice,437,2
2024-03-20,Rice,682,40
2024-03-21,Rice,224,12
2024-03-22,Rice,316,33
2024-03-23,Rice,591,20
2024-03-24,Rice,736,14
2024-03-25,Rice,779,44
2024-03-26,Rice,211,31
2024-03-27,Rice,327,31
2024-03-28,Rice,291,12
2024-03-29,Rice,742,13
2024-03-30,Rice,731,17
2024-01-01,Chicken,646,5
2024-01-02,Chicken,871,28
2024-01-03,Chicken,242,1
2024-01-04,Chicken,259,22
2024-01-05,Chicken,666,30
2024-01-06,Chicken,716,18
2024-01-07,Chicken,977,24
2024-01-08,Chicken,841,10
2024-01-09,Chicken,889,30
2024-01-10,Chicken,255,14
2024-01-11,Chicken,656,22
2024-01-12,Chicken,282,8
2024-01-13,Chicken,298,20
2024-01-14,Chicken,528,27
2024-01-15,Chicken,389,45
2024-01-16,Chicken,462,15
2024-01-17,Chicken,599,32
2024-01-18,Chicken,459,3
2024-01-19,Chicken,814,39
2024-01-20,Chicken,984,36
2024-01-21,Chicken,558,28
2024-01-22,Chicken,619,37
2024-01-23,Chicken,430,49
2024-01-24,Chicken,262,36
2024-01-25,Chicken,827,34
2024-01-26,Chicken,718,26
2024-01-27,Chicken,291,21
2024-01-28,Chicken,725,6
2024-01-29,Chicken,940,21
2024-01-30,Chicken,844,1
2024-01-31,Chicken,773,26
2024-02-01,Chicken,604,37
2024-02-02,Chicken,790,20
2024-02-03,Chicken,849,22
2024-02-04,Chicken,622,4
2024-02-05,Chicken,264,12
2024-02-06,Chicken,412,25
2024-02-07,Chicken,441,44
2024-02-08,Chicken,412,17
2024-02-09,Chicken,372,31
2024-02-10,Chicken,363,16
2024-02-11,Chicken,696,10
2024-02-12,Chicken,902,20
2024-02-13,Chicken,507,25
2024-02-14,Chicken,709,3
2024-02-15,Chicken,745,47
2024-02-16,Chicken,963,17
2024-02-17,Chicken,943,34
2024-02-18,Chicken,944,28
2024-02-19,Chicken,635,28
2024-02-20,Chicken,621,41
2024-02-21,Chicken,220,41
2024-02-22,Chicken,596,48
2024-02-23,Chicken,304,16
2024-02-24,Chicken,319,8
2024-02-25,Chicken,624,0
2024-02-26,Chicken,329,47
2024-02-27,Chicken,228,32
2024-02-28,Chicken,209,49
2024-02-29,Chicken,431,20
2024-03-01,Chicken,483,10
2024-03-02,Chicken,958,33
2024-03-03,Chicken,975,21
2024-03-04,Chicken,399,48
2024-03-05,Chicken,278,16
2024-03-06,Chicken,372,18
2024-03-07,Chicken,780,31
2024-03-08,Chicken,648,22
2024-03-09,Chicken,300,7
2024-03-10,Chicken,399,22
2024-03-11,Chicken,242,0
2024-03-12,Chicken,820,23
2024-03-13,Chicken,682,23
2024-03-14,Chicken,216,4
2024-03-15,Chicken,347,20
2024-03-16,Chicken,431,30
2024-03-17,Chicken,565,35
2024-03-18,Chicken,850,14
2024-03-19,Chicken,410,6
2024-03-20,Chicken,698,27
2024-03-21,Chicken,762,42
2024-03-22,Chicken,641,4
2024-03-23,Chicken,972,29
2024-03-24,Chicken,551,7
2024-03-25,Chicken,519,9
2024-03-26,Chicken,749,46
2024-03-27,Chicken,567,27
2024-03-28,Chicken,536,30
2024-03-29,Chicken,847,39
2024-03-30,Chicken,528,1
2024-01-01,Apples,662,49
2024-01-02,Apples,760,35
2024-01-03,Apples,581,3
2024-01-04,Apples,789,40
2024-01-05,Apples,368,24
2024-01-06,Apples,577,49
2024-01-07,Apples,977,20
2024-01-08,Apples,875,11
2024-01-09,Apples,687,1
2024-01-10,Apples,573,12
2024-01-11,Apples,892,31
2024-01-12,Apples,550,15
2024-01-13,Apples,487,31
2024-01-14,Apples,425,10
2024-01-15,Apples,721,14
2024-01-16,Apples,472,39
2024-01-17,Apples,601,8
2024-01-18,Apples,864,39
2024-01-19,Apples,323,24
2024-01-20,Apples,825,21
2024-01-21,Apples,613,19
2024-01-22,Apples,924,43
2024-01-23,Apples,487,45
2024-01-24,Apples,312,20
2024-01-25,Apples,321,31
2024-01-26,Apples,421,38
2024-01-27,Apples,696,11
2024-01-28,Apples,432,46
2024-01-29,Apples,729,20
2024-01-30,Apples,596,20
2024-01-31,Apples,837,7
2024-02-01,Apples,501,39
2024-02-02,Apples,437,6
2024-02-03,Apples,862,43
2024-02-04,Apples,935,10
2024-02-05,Apples,455,21
2024-02-06,Apples,861,42
2024-02-07,Apples,544,21
2024-02-08,Apples,996,12
2024-02-09,Apples,665,1
2024-02-10,Apples,740,20
2024-02-11,Apples,662,26
2024-02-12,Apples,761,30
2024-02-13,Apples,662,22
2024-02-14,Apples,287,43
2024-02-15,Apples,660,21
2024-02-16,Apples,882,36
2024-02-17,Apples,900,32
2024-02-18,Apples,895,2
2024-02-19,Apples,902,18
2024-02-20,Apples,222,28
2024-02-21,Apples,229,38
2024-02-22,Apples,307,46
2024-02-23,Apples,480,36
2024-02-24,Apples,310,7
2024-02-25,Apples,561,15
2024-02-26,Apples,783,0
2024-02-27,Apples,460,2
2024-02-28,Apples,648,3
2024-02-29,Apples,303,34
2024-03-01,Apples,423,41
2024-03-02,Apples,690,24
2024-03-03,Apples,209,20
2024-03-04,Apples,501,38
2024-03-05,Apples,930,26
2024-03-06,Apples,265,40
2024-03-07,Apples,311,12
2024-03-08,Apples,592,35
2024-03-09,Apples,797,41
2024-03-10,Apples,801,11
2024-03-11,Apples,408,13
2024-03-12,Apples,213,33
2024-03-13,Apples,636,19
2024-03-14,Apples,786,15
2024-03-15,Apples,954,30
2024-03-16,Apples,269,18
2024-03-17,Apples,300,3
2024-03-18,Apples,822,3
2024-03-19,Apples,219,9
2024-03-20,Apples,735,34
2024-03-21,Apples,353,36
2024-03-22,Apples,941,20
2024-03-23,Apples,604,9
2024-03-24,Apples,237,45
2024-03-25,Apples,971,44
2024-03-26,Apples,219,16
2024-03-27,Apples,318,6
2024-03-28,Apples,715,28
2024-03-29,Apples,725,2
2024-03-30,Apples,927,36
2024-01-01,Bananas,535,3
2024-01-02,Bananas,965,23
2024-01-03,Bananas,361,29
2024-01-04,Bananas,793,18
2024-01-05,Bananas,358,18
2024-01-06,Bananas,518,45
2024-01-07,Bananas,410,21
2024-01-08,Bananas,863,44
2024-01-09,Bananas,275,29
2024-01-10,Bananas,513,37
2024-01-11,Bananas,316,30
2024-01-12,Bananas,903,18
2024-01-13,Bananas,631,44
2024-01-14,Bananas,939,29
2024-01-15,Bananas,382,48
2024-01-16,Bananas,382,32
2024-01-17,Bananas,345,48
2024-01-18,Bananas,962,27
2024-01-19,Bananas,962,46
2024-01-20,Bananas,317,44
2024-01-21,Bananas,360,16
2024-01-22,Bananas,397,3
2024-01-23,Bananas,859,47
2024-01-24,Bananas,246,26
2024-01-25,Bananas,598,5
2024-01-26,Bananas,758,13
2024-01-27,Bananas,323,10
2024-01-28,Bananas,336,25
2024-01-29,Bananas,599,4
2024-01-30,Bananas,704,9
2024-01-31,Bananas,249,2
2024-02-01,Bananas,818,48
2024-02-02,Bananas,453,44
2024-02-03,Bananas,909,16
2024-02-04,Bananas,762,18
2024-02-05,Bananas,625,34
2024-02-06,Bananas,501,25
2024-02-07,Bananas,780,28
2024-02-08,Bananas,248,20
2024-02-09,Bananas,273,4
2024-02-10,Bananas,555,5
2024-02-11,Bananas,801,3
2024-02-12,Bananas,837,38
2024-02-13,Bananas,494,49
2024-02-14,Bananas,840,23
2024-02-15,Bananas,512,35
2024-02-16,Bananas,381,45
2024-02-17,Bananas,563,30
2024-02-18,Bananas,795,23
2024-02-19,Bananas,747,20
2024-02-20,Bananas,607,43
2024-02-21,Bananas,817,29
2024-02-22,Bananas,541,27
2024-02-23,Bananas,362,27
2024-02-24,Bananas,469,9
2024-02-25,Bananas,599,30
2024-02-26,Bananas,817,24
2024-02-27,Bananas,404,5
2024-02-28,Bananas,755,8
2024-02-29,Bananas,427,42
2024-03-01,Bananas,795,17
2024-03-02,Bananas,449,42
2024-03-03,Bananas,640,20
2024-03-04,Bananas,395,49
2024-03-05,Bananas,718,5
2024-03-06,Bananas,838,14
2024-03-07,Bananas,871,10
2024-03-08,Bananas,347,23
2024-03-09,Bananas,854,47
2024-03-10,Bananas,398,20
2024-03-11,Bananas,625,25
2024-03-12,Bananas,691,13
2024-03-13,Bananas,512,36
2024-03-14,Bananas,513,20
2024-03-15,Bananas,281,4
2024-03-16,Bananas,330,22
2024-03-17,Bananas,929,36
2024-03-18,Bananas,504,18
2024-03-19,Bananas,570,24
2024-03-20,Bananas,583,11
2024-03-21,Bananas,644,40
2024-03-22,Bananas,360,49
2024-03-23,Bananas,828,3
2024-03-24,Bananas,689,6
2024-03-25,Bananas,797,32
2024-03-26,Bananas,792,23
2024-03-27,Bananas,772,33
2024-03-28,Bananas,227,42
2024-03-29,Bananas,880,38
2024-03-30,Bananas,797,48
2024-01-01,Juice,728,33
2024-01-02,Juice,693,5
2024-01-03,Juice,809,0
2024-01-04,Juice,716,1
2024-01-05,Juice,221,47
2024-01-06,Juice,256,1
2024-01-07,Juice,297,15
2024-01-08,Juice,634,38
2024-01-09,Juice,285,11
2024-01-10,Juice,543,46
2024-01-11,Juice,493,9
2024-01-12,Juice,810,48
2024-01-13,Juice,231,6
2024-01-14,Juice,476,19
2024-01-15,Juice,353,3
2024-01-16,Juice,413,14
2024-01-17,Juice,575,39
2024-01-18,Juice,412,14
2024-01-19,Juice,925,27
2024-01-20,Juice,981,26
2024-01-21,Juice,580,40
2024-01-22,Juice,879,27
2024-01-23,Juice,225,48
2024-01-24,Juice,646,1
2024-01-25,Juice,959,2
2024-01-26,Juice,243,32
2024-01-27,Juice,753,34
2024-01-28,Juice,973,38
2024-01-29,Juice,635,22
2024-01-30,Juice,800,49
2024-01-31,Juice,626,18
2024-02-01,Juice,908,10
2024-02-02,Juice,703,11
2024-02-03,Juice,785,7
2024-02-04,Juice,707,27
2024-02-05,Juice,496,35
2024-02-06,Juice,684,20
2024-02-07,Juice,271,8
2024-02-08,Juice,758,14
2024-02-09,Juice,437,39
2024-02-10,Juice,409,41
2024-02-11,Juice,667,5
2024-02-12,Juice,467,1
2024-02-13,Juice,974,15
2024-02-14,Juice,586,44
2024-02-15,Juice,458,26
2024-02-16,Juice,825,42
2024-02-17,Juice,239,37
2024-02-18,Juice,419,0
2024-02-19,Juice,719,36
2024-02-20,Juice,887,42
2024-02-21,Juice,812,3
2024-02-22,Juice,565,18
2024-02-23,Juice,743,8
2024-02-24,Juice,723,10
2024-02-25,Juice,215,0
2024-02-26,Juice,774,44
2024-02-27,Juice,732,29
2024-02-28,Juice,468,33
2024-02-29,Juice,459,27
2024-03-01,Juice,301,30
2024-03-02,Juice,770,26
2024-03-03,Juice,736,2
2024-03-04,Juice,552,3
2024-03-05,Juice,992,19
2024-03-06,Juice,865,4
2024-03-07,Juice,426,27
2024-03-08,Juice,676,8
2024-03-09,Juice,571,37
2024-03-10,Juice,633,5
2024-03-11,Juice,410,43
2024-03-12,Juice,576,10
2024-03-13,Juice,649,46
2024-03-14,Juice,563,43
2024-03-15,Juice,656,20
2024-03-16,Juice,927,33
2024-03-17,Juice,330,11
2024-03-18,Juice,675,29
2024-03-19,Juice,476,27
2024-03-20,Juice,959,25
2024-03-21,Juice,389,32
2024-03-22,Juice,874,33
2024-03-23,Juice,240,46
2024-03-24,Juice,537,10
2024-03-25,Juice,478,47
2024-03-26,Juice,861,16
2024-03-27,Juice,819,10
2024-03-28,Juice,982,26
2024-03-29,Juice,488,19
2024-03-30,Juice,471,33
2024-01-01,Cereal,265,34
2024-01-02,Cereal,447,27
2024-01-03,Cereal,246,38
2024-01-04,Cereal,653,8
2024-01-05,Cereal,859,0
2024-01-06,Cereal,958,22
2024-01-07,Cereal,839,2
2024-01-08,Cereal,715,24
2024-01-09,Cereal,342,20
2024-01-10,Cereal,426,45
2024-01-11,Cereal,853,35
2024-01-12,Cereal,659,16
2024-01-13,Cereal,750,8
2024-01-14,Cereal,963,12
2024-01-15,Cereal,406,17
2024-01-16,Cereal,314,32
2024-01-17,Cereal,845,26
2024-01-18,Cereal,606,26
2024-01-19,Cereal,553,45
2024-01-20,Cereal,749,13
2024-01-21,Cereal,811,7
2024-01-22,Cereal,901,34
2024-01-23,Cereal,858,29
2024-01-24,Cereal,706,19
2024-01-25,Cereal,480,39
2024-01-26,Cereal,469,25
2024-01-27,Cereal,813,22
2024-01-28,Cereal,861,47
2024-01-29,Cereal,282,45
2024-01-30,Cereal,625,18
2024-01-31,Cereal,912,27
2024-02-01,Cereal,372,6
2024-02-02,Cereal,917,8
2024-02-03,Cereal,962,18
2024-02-04,Cereal,597,37
2024-02-05,Cereal,636,35
2024-02-06,Cereal,664,29
2024-02-07,Cereal,464,32
2024-02-08,Cereal,575,24
2024-02-09,Cereal,853,10
2024-02-10,Cereal,938,40
2024-02-11,Cereal,533,29
2024-02-12,Cereal,240,3
2024-02-13,Cereal,267,27
2024-02-14,Cereal,975,1
2024-02-15,Cereal,836,45
2024-02-16,Cereal,797,40
2024-02-17,Cereal,831,15
2024-02-18,Cereal,676,48
2024-02-19,Cereal,631,29
2024-02-20,Cereal,467,34
2024-02-21,Cereal,978,45
2024-02-22,Cereal,761,20
2024-02-23,Cereal,966,20
2024-02-24,Cereal,524,47
2024-02-25,Cereal,475,36
2024-02-26,Cereal,883,32
2024-02-27,Cereal,400,8
2024-02-28,Cereal,523,34
2024-02-29,Cereal,681,23
2024-03-01,Cereal,679,0
2024-03-02,Cereal,207,44
2024-03-03,Cereal,542,46
2024-03-04,Cereal,623,11
2024-03-05,Cereal,637,11
2024-03-06,Cereal,373,46
2024-03-07,Cereal,726,40
2024-03-08,Cereal,858,25
2024-03-09,Cereal,804,21
2024-03-10,Cereal,431,20
2024-03-11,Cereal,749,19
2024-03-12,Cereal,704,28
2024-03-13,Cereal,378,3
2024-03-14,Cereal,654,27
2024-03-15,Cereal,739,3
2024-03-16,Cereal,605,11
2024-03-17,Cereal,778,21
2024-03-18,Cereal,691,1
2024-03-19,Cereal,361,26
2024-03-20,Cereal,560,0
2024-03-21,Cereal,783,22
2024-03-22,Cereal,461,21
2024-03-23,Cereal,864,17
2024-03-24,Cereal,772,11
2024-03-25,Cereal,461,25
2024-03-26,Cereal,482,7
2024-03-27,Cereal,666,41
2024-03-28,Cereal,648,28
2024-03-29,Cereal,820,48
2024-03-30,Cereal,623,13
2024-01-01,Cheese,490,47
2024-01-02,Cheese,948,19
2024-01-03,Cheese,888,12
2024-01-04,Cheese,900,37
2024-01-05,Cheese,248,45
2024-01-06,Cheese,389,7
2024-01-07,Cheese,754,19
2024-01-08,Cheese,801,38
2024-01-09,Cheese,540,48
2024-01-10,Cheese,903,41
2024-01-11,Cheese,562,40
2024-01-12,Cheese,976,23
2024-01-13,Cheese,748,48
2024-01-14,Cheese,752,16
2024-01-15,Cheese,988,38
2024-01-16,Cheese,382,40
2024-01-17,Cheese,750,12
2024-01-18,Cheese,903,10
2024-01-19,Cheese,693,18
2024-01-20,Cheese,532,45
2024-01-21,Cheese,756,0
2024-01-22,Cheese,367,43
2024-01-23,Cheese,218,11
2024-01-24,Cheese,783,7
2024-01-25,Cheese,308,11
2024-01-26,Cheese,644,47
2024-01-27,Cheese,500,25
2024-01-28,Cheese,302,27
2024-01-29,Cheese,449,4
2024-01-30,Cheese,719,24
2024-01-31,Cheese,373,22
2024-02-01,Cheese,869,44
2024-02-02,Cheese,630,22
2024-02-03,Cheese,888,46
2024-02-04,Cheese,857,1
2024-02-05,Cheese,523,29
2024-02-06,Cheese,872,35
2024-02-07,Cheese,793,36
2024-02-08,Cheese,858,46
2024-02-09,Cheese,611,39
2024-02-10,Cheese,283,48
2024-02-11,Cheese,936,11
2024-02-12,Cheese,577,14
2024-02-13,Cheese,240,38
2024-02-14,Cheese,969,28
2024-02-15,Cheese,304,9
2024-02-16,Cheese,649,10
2024-02-17,Cheese,465,13
2024-02-18,Cheese,409,8
2024-02-19,Cheese,576,38
2024-02-20,Cheese,739,2
2024-02-21,Cheese,283,5
2024-02-22,Cheese,866,1
2024-02-23,Cheese,804,37
2024-02-24,Cheese,586,15
2024-02-25,Cheese,549,39
2024-02-26,Cheese,457,16
2024-02-27,Cheese,467,34
2024-02-28,Cheese,434,0
2024-02-29,Cheese,510,44
2024-03-01,Cheese,556,20
2024-03-02,Cheese,773,48
2024-03-03,Cheese,326,30
2024-03-04,Cheese,478,23
2024-03-05,Cheese,704,37
2024-03-06,Cheese,995,20
2024-03-07,Cheese,637,42
2024-03-08,Cheese,857,35
2024-03-09,Cheese,810,44
2024-03-10,Cheese,574,8
2024-03-11,Cheese,833,29
2024-03-12,Cheese,387,43
2024-03-13,Cheese,999,2
2024-03-14,Cheese,394,27
2024-03-15,Cheese,371,14
2024-03-16,Cheese,240,22
2024-03-17,Cheese,559,10
2024-03-18,Cheese,759,31
2024-03-19,Cheese,317,35
2024-03-20,Cheese,579,32
2024-03-21,Cheese,878,33
2024-03-22,Cheese,639,27
2024-03-23,Cheese,206,3
2024-03-24,Cheese,620,0
2024-03-25,Cheese,392,46
2024-03-26,Cheese,347,18
2024-03-27,Cheese,868,9
2024-03-28,Cheese,643,17
2024-03-29,Cheese,618,42
2024-03-30,Cheese,678,26
